date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,state,statezip,country
02-05-2024,4872629,4,2.8,1415,4804,1.8,0,2,4,655,760,2000,2005,8576 Station Road,Pune,Maharashtra,Maharashtra 115059,India
02-05-2024,582854,2,2,2587,3725,1.5,1,3,5,1606,981,1950,1996,2076 MG Road,Kanpur,Uttar Pradesh,Uttar Pradesh 119548,India
02-05-2024,997588,2,1.6,1728,3408,2.6,0,4,4,729,999,2006,0,9821 Main Road,Hyderabad,Telangana,Telangana 118564,India
02-05-2024,4497584,3,1.9,974,9080,1.1,1,2,3,779,195,2002,0,924 Main Road,Chennai,Tamil Nadu,Tamil Nadu 119202,India
02-05-2024,4613070,5,1.4,4013,6058,1.3,0,2,2,2218,1795,1990,0,10 Main Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,2375334,5,2.2,2595,9036,2.1,1,0,1,855,1740,2002,0,4180 Park Street,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,2357325,1,1.1,2482,2924,2.6,0,1,4,920,1562,1974,2003,6679 Main Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,1497914,2,2.5,2533,8418,1.9,0,4,3,655,1878,1978,0,9147 Park Street,Ahmedabad,Gujarat,Gujarat 118769,India
02-05-2024,4001380,1,1.2,4107,1818,2.3,1,0,4,1307,2800,2018,0,4275 MG Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,3025031,1,1.3,2645,3761,2.2,1,4,5,1276,1369,2011,0,6643 Main Road,Bangalore,Karnataka,Karnataka 119780,India
02-05-2024,2465015,3,1.2,1737,2545,2.2,1,1,4,1593,144,1994,0,7099 Station Road,Kolkata,West Bengal,West Bengal 115749,India
02-05-2024,510288,2,1.9,1984,8203,2.9,1,2,1,519,1465,1976,0,1015 MG Road,Delhi,Delhi,Delhi 114299,India
02-05-2024,1778235,3,2.8,4180,9923,2.1,0,0,4,4168,12,2005,0,3073 Main Road,Ghaziabad,Uttar Pradesh,Uttar Pradesh 116721,India
02-05-2024,523450,3,2.2,3506,5510,1.7,0,0,2,1280,2226,2023,2018,9597 MG Road,Visakhapatnam,Andhra Pradesh,Andhra Pradesh 112459,India
02-05-2024,1286671,3,1.4,688,5736,1.2,1,3,3,514,174,1995,1993,8954 Circular Road,Delhi,Delhi,Delhi 114299,India
02-05-2024,2536717,3,1.7,3622,5614,1.4,0,4,1,935,2687,1999,1994,359 Main Road,Bhopal,Madhya Pradesh,Madhya Pradesh 115279,India
02-05-2024,3467234,5,2.7,1492,7539,1.4,1,0,4,1364,128,1958,2018,1945 Main Road,Bhopal,Madhya Pradesh,Madhya Pradesh 115279,India
02-05-2024,4374263,1,2.1,2605,8430,2.5,1,3,2,2118,487,1995,2014,10 Park Street,Vadodara,Gujarat,Gujarat 114187,India
